,Address - From Geocoder,Company_Name,File_List,Geocode Score,Header,Header_Clean,Latitude,Longitude,Match Score,Query,Text
65,"154 Francis St, Providence, RI",Norberg John H,['cd1978/entry/1978_Page_70 (3)_37.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.8308213423174,-71.41647610627278,100.0,154 FRANCIS ST PROVIDENCE,Norberg John H 154 Francis St 2d Fi
66,HARDCODE,Orlando & Turcotte,"['cd1978/entry/1978_Page_70 (3)_38.png', 'cd1978/entry/1978_Page_70 (3)_39.png']",100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,Orlando & Turcotte 15 Westminster St Rm 910
67,HARDCODE,Over Petrone & Co,"['cd1978/entry/1978_Page_70 (3)_40.png', 'cd1978/entry/1978_Page_70 (3)_41.png']",100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,Over Petrone & Co 15 Westminster St Rm 1005
68,"107 Bolton Ave, Providence, RI",Pascarella Steph E,['cd1978/entry/1978_Page_70 (3)_42.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.83545441783255,-71.44926286680423,100.0,107 BOLTON AVE PROVIDENCE,Pascarella Steph E 107 Bolton Av
69,"107 Bolton Ave, Providence, RI",Pascarella Steph E 2d,['cd1978/entry/1978_Page_70 (3)_43.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.83545441783255,-71.44926286680423,100.0,107 BOLTON AVE PROVIDENCE,Pascarella Steph E 2d 107 Bolton Av
70,HARDCODE,Pascarella & Trench,"['cd1978/entry/1978_Page_70 (3)_44.png', 'cd1978/entry/1978_Page_70 (3)_45.png']",100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,Pascarella & Trench 15 Westminster St Rm 1140
71,"414 Broadway, Providence, RI",Paterra J J & Co,['cd1978/entry/1978_Page_70 (3)_46.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.81920223168936,-71.4316605685928,100.0,414 BROADWAY PROVIDENCE,Paterra J J & Co 414 Broadway
72,"76 Westminster St, Providence, RI",Pelich Robt,['cd1978/entry/1978_Page_70 (3)_47.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82463663516011,-71.41012717666993,100.0,76 WESTMINSTER ST PROVIDENCE,Pelich Robt 76 Westminster St Rm 1105
73,"1 Jackson Walkway, Providence, RI",Phillipe Milto,['cd1978/entry/1978_Page_70 (3)_48.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.81888958155452,-71.41544176009579,89.5,1 JACKSON WALKWAY PROVIDENCE,Phillipe Milton 1 Jackson Walkway Suite 3
74,"144 Westminster St, Providence, RI",Piccerelli Gilstein & Co,"['cd1978/entry/1978_Page_70 (3)_49.png', 'cd1978/entry/1978_Page_70 (3)_50.png']",100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82396537736711,-71.41104652990313,100.0,144 WESTMINSTER ST PROVIDENCE,Piccerelli Gilstein & Co 144 Westminster St 3d
75,"111 Westminster St, Providence, RI",Pritsker & Block,['cd1978/entry/1978_Page_71 (1)_2.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Pritsker & Block 111 Westminster St Rm 1235
76,"184 Verndale Ave, Providence, RI",Rogers Ellis R,['cd1978/entry/1978_Page_71 (1)_7.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.78805495279107,-71.41184801084431,100.0,184 VERNDALE AVE PROVIDENCE,Rogers Ellis R 184 Verndale Av
77,"170 Westminster St, Providence, RI",Roiff Herbert A & Co,"['cd1978/entry/1978_Page_71 (1)_8.png', 'cd1978/entry/1978_Page_71 (1)_9.png']",100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.823683537755784,-71.41146197569445,100.0,170 WESTMINSTER ST PROVIDENCE,Roiff Herbert A & Co 170 Westminster St Rm 700
78,"44 Warren St, Providence, RI",Ross Josli,['cd1978/entry/1978_Page_71 (1)_10.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.81078654211388,-71.42588257585658,100.0,44 WARREN ST PROVIDENCE,Ross Joslin 44 Warren St
79,"86 Weybosset St, Providence, RI",Rouslin Edw,['cd1978/entry/1978_Page_71 (1)_11.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82343603171933,-71.41033944573688,100.0,86 WEYBOSSET ST PROVIDENCE,Rouslin Edw 86 Weybosset St .:m 406
80,"344 Wickenden St, Providence, RI",S-S Accounting,['cd1978/entry/1978_Page_71 (1)_12.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.81962725690364,-71.39642109656799,100.0,344 WICKENDEN ST PROVIDENCE,S-S Accounting 344 Wickenden St
81,"111 Westminster St, Providence, RI",Sansiveri Jerry:,['cd1978/entry/1978_Page_71 (1)_13.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Sansiveri Jerry: 111 Westminster St Rm 1030
82,"501 Angell St, Providence, RI",Satloff Morris,['cd1978/entry/1978_Page_71 (1)_14.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.83020600394716,-71.38748876555576,100.0,501 ANGELL ST PROVIDENCE,Satloff Morris 501 Angell St
83,"58 Weybosset St, Providence, RI",Scadera Mich! A,['cd1978/entry/1978_Page_71 (1)_15.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82382395857898,-71.409823583854,100.0,58 WEYBOSSET ST PROVIDENCE,Scadera Mich! A 58 Weybosset St Rm 703
